Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,11,0.2879,0.5398,0.8765,0.7709,0.7693,0.8507,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,12,0.2835,0.5121,0.8784,0.7777,0.7728,0.8635,42.94
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,13,0.2737,0.6211,0.8873,0.7486,0.6904,0.882,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,14,0.2707,0.6187,0.8866,0.7572,0.7196,0.8602,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,15,0.2669,0.5315,0.8891,0.7774,0.7668,0.8642,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,16,0.2613,0.5279,0.8901,0.7846,0.7728,0.8686,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,17,0.2529,0.7136,0.8962,0.7153,0.6601,0.8354,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,18,0.2503,0.673,0.8969,0.733,0.6586,0.8864,42.94
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,19,0.2423,0.5319,0.9012,0.7883,0.7651,0.8841,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,20,0.2367,0.6013,0.906,0.7591,0.7256,0.8658,42.91
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,21,0.2371,0.7693,0.905,0.7219,0.6485,0.8631,42.94
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,22,0.2324,0.6817,0.9075,0.7132,0.6975,0.8095,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,23,0.2266,0.7039,0.9084,0.7405,0.6822,0.8694,42.94
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,24,0.2231,0.8078,0.9101,0.6983,0.61,0.8458,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,25,0.2217,0.6376,0.9119,0.7525,0.7106,0.8684,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,26,0.2212,0.6725,0.9122,0.7564,0.7103,0.8773,42.94
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,27,0.2188,0.8967,0.911,0.6992,0.5974,0.8662,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,28,0.2144,0.6877,0.9153,0.7207,0.6574,0.8525,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,29,0.2133,0.7898,0.9156,0.705,0.6211,0.8557,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,30,0.2101,0.6914,0.9183,0.7471,0.7017,0.8647,42.93
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,1,0.6112,0.619,0.6644,0.6414,0.7214,0.5692,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,2,0.5787,0.6173,0.6765,0.647,0.7198,0.6008,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,3,0.5707,0.6416,0.6786,0.6377,0.6935,0.5929,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,4,0.5661,0.62,0.6808,0.6485,0.7166,0.7407,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,5,0.5356,0.5649,0.7143,0.7112,0.6777,0.8078,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,6,0.4376,0.561,0.7994,0.6999,0.6353,0.8292,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,7,0.4031,0.5154,0.8153,0.7606,0.7577,0.8366,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,8,0.3788,0.4905,0.827,0.7661,0.7781,0.8508,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,9,0.3619,0.5263,0.8393,0.7475,0.7264,0.8438,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,10,0.3518,0.4981,0.8434,0.7698,0.7571,0.861,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,11,0.3415,0.5303,0.8492,0.7494,0.7221,0.8521,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,12,0.3407,0.5855,0.8486,0.7289,0.6712,0.8586,26.57
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,13,0.3343,0.7017,0.8544,0.7015,0.6318,0.8232,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,14,0.3276,0.5619,0.8582,0.7369,0.7047,0.8438,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,15,0.3258,0.5207,0.8579,0.7602,0.7483,0.8503,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,16,0.3242,0.4864,0.8549,0.7738,0.7757,0.8597,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,17,0.3195,0.5237,0.8605,0.7586,0.7368,0.8586,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,18,0.3178,0.4982,0.8625,0.7699,0.7634,0.8581,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,19,0.3134,0.5832,0.8625,0.7341,0.6889,0.8514,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,20,0.3089,0.513,0.867,0.7609,0.7469,0.858,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,21,0.3096,0.5311,0.8676,0.7458,0.7193,0.8507,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,22,0.3052,0.5457,0.8697,0.7429,0.7095,0.8522,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,23,0.3047,0.5277,0.8685,0.7566,0.734,0.8588,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,24,0.3052,0.6191,0.8671,0.7252,0.6558,0.8727,26.54
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,25,0.3061,0.5012,0.8686,0.769,0.759,0.8592,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,26,0.3001,0.636,0.8726,0.7088,0.6441,0.8428,26.55
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,27,0.2962,0.584,0.8746,0.7346,0.7019,0.8428,26.56
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,28,0.3019,0.5565,0.8702,0.7494,0.7195,0.8521,26.54
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,29,0.2922,0.5946,0.8754,0.7343,0.6872,0.8518,26.54
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,42,30,0.2888,0.5765,0.8765,0.7468,0.7138,0.8564,26.53
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,1,0.544,0.541,0.7386,0.7261,0.7396,0.8105,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,2,0.4287,0.5553,0.8012,0.7246,0.7131,0.8108,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,3,0.4004,0.4979,0.8169,0.7633,0.7575,0.8496,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,4,0.3836,0.4902,0.8252,0.7632,0.758,0.8496,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,5,0.3691,0.4679,0.8316,0.787,0.787,0.8671,26.48
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,6,0.3578,0.4549,0.8393,0.7906,0.7942,0.8698,26.48
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,7,0.3466,0.4442,0.8448,0.7958,0.7971,0.8733,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,8,0.3359,0.4782,0.851,0.7866,0.7884,0.868,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,9,0.3328,0.5747,0.853,0.7298,0.6692,0.8741,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,10,0.3229,0.4564,0.86,0.7852,0.787,0.872,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,11,0.3174,0.5093,0.8615,0.7587,0.7349,0.8647,26.52
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,12,0.3132,0.642,0.8631,0.7186,0.647,0.8644,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,13,0.3067,0.5476,0.8678,0.75,0.7157,0.8596,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,14,0.3064,0.6578,0.8676,0.7249,0.6597,0.8502,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,15,0.3017,0.5143,0.8696,0.7597,0.7336,0.8642,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,16,0.2995,0.576,0.8717,0.7583,0.7294,0.8477,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,17,0.2959,0.5616,0.8726,0.7494,0.7165,0.8533,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,18,0.2955,0.5814,0.8721,0.7555,0.7239,0.8552,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,19,0.2926,0.62,0.8742,0.7437,0.6931,0.858,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,20,0.2891,0.555,0.8771,0.7582,0.7381,0.8493,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,21,0.2938,0.6687,0.8757,0.7293,0.6683,0.8536,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,22,0.2885,0.5009,0.8786,0.7701,0.7632,0.8611,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,23,0.2859,0.6389,0.8794,0.7376,0.6875,0.849,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,24,0.285,0.6339,0.8788,0.7465,0.6986,0.8575,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,25,0.2827,0.6219,0.88,0.7405,0.6924,0.8539,26.5
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,26,0.2812,0.5832,0.8821,0.7493,0.7219,0.8449,26.48
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,27,0.28,0.5239,0.8833,0.7617,0.744,0.8582,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,28,0.2811,0.5046,0.8822,0.7651,0.75,0.8666,26.49
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,29,0.2775,0.6472,0.8855,0.7346,0.6778,0.8533,26.48
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,15,30,0.2757,0.6063,0.8841,0.7475,0.7095,0.8494,26.47
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,1,0.5884,0.615,0.6726,0.6507,0.7292,0.791,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,2,0.5691,0.6208,0.6825,0.6403,0.7051,0.6718,26.46
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,3,0.5622,0.6518,0.6868,0.6329,0.6958,0.7285,26.46
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,4,0.5315,0.5571,0.7173,0.7383,0.7546,0.8064,26.47
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,5,0.4307,0.6141,0.8014,0.715,0.6785,0.8211,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,6,0.3992,0.5617,0.8179,0.7373,0.7132,0.8338,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,7,0.3846,0.5476,0.8239,0.7388,0.7184,0.8409,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,8,0.3771,0.5117,0.8298,0.7589,0.7536,0.8459,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,9,0.3692,0.5825,0.8327,0.729,0.6957,0.8421,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,10,0.3644,0.5786,0.8366,0.7287,0.6878,0.8512,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,11,0.361,0.5412,0.8364,0.7431,0.7115,0.8648,26.43
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,12,0.3593,0.5313,0.8388,0.754,0.7319,0.8576,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,13,0.3518,0.457,0.8421,0.78,0.7763,0.8715,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,14,0.3482,0.4521,0.8466,0.7913,0.7911,0.8739,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,15,0.3352,0.4527,0.8521,0.7928,0.786,0.8869,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,16,0.3321,0.4978,0.8569,0.7673,0.7424,0.8818,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,17,0.3229,0.4791,0.8608,0.7768,0.7632,0.8784,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,18,0.3241,0.4842,0.8608,0.772,0.7526,0.8813,26.47
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,19,0.3165,0.4601,0.8627,0.7928,0.79,0.8808,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,20,0.316,0.5201,0.8639,0.7708,0.7493,0.8734,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,21,0.3121,0.466,0.866,0.782,0.7751,0.8779,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,22,0.3105,0.4576,0.8681,0.7931,0.801,0.8764,26.48
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,23,0.305,0.4893,0.8707,0.7814,0.7643,0.8887,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,24,0.3051,0.521,0.8713,0.7606,0.7322,0.8729,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,25,0.2996,0.5096,0.8717,0.7706,0.7523,0.8739,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,26,0.2972,0.4692,0.8735,0.781,0.7822,0.8735,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,27,0.2968,0.4919,0.874,0.7755,0.7733,0.8685,26.45
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,28,0.2892,0.553,0.8777,0.7456,0.7083,0.8705,26.46
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,29,0.2858,0.5603,0.8796,0.7487,0.7058,0.8767,26.44
GCNN_CYCLIC_8_AdamW_lr0.001_wd0.0001,67,30,0.2849,0.5267,0.8809,0.7554,0.7261,0.8708,26.45
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,1,0.5452,0.5075,0.7287,0.7623,0.7806,0.8249,55.39
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,2,0.4316,0.5854,0.8001,0.7193,0.6813,0.821,55.41
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,3,0.4158,0.5203,0.8065,0.7531,0.7564,0.829,55.42
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,4,0.4067,0.5113,0.8099,0.7563,0.7719,0.8348,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,5,0.3982,0.5331,0.8174,0.7593,0.7468,0.8401,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,6,0.3872,0.4969,0.8207,0.7707,0.7803,0.8456,55.44
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,7,0.3758,0.5271,0.8294,0.7592,0.7403,0.8488,55.41
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,8,0.3668,0.4589,0.8327,0.7893,0.7846,0.8706,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,9,0.358,0.472,0.8378,0.7809,0.773,0.8673,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,10,0.3557,0.4755,0.8381,0.7815,0.7875,0.8602,55.44
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,11,0.3488,0.5648,0.8406,0.7405,0.7142,0.8373,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,12,0.348,0.4703,0.8434,0.7792,0.7593,0.8758,55.41
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,13,0.3414,0.4511,0.8459,0.79,0.793,0.8712,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,14,0.3342,0.5172,0.851,0.7689,0.7592,0.8503,55.46
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,15,0.3288,0.5164,0.8545,0.7587,0.7392,0.854,55.46
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,16,0.3228,0.5806,0.8581,0.7376,0.6982,0.8519,55.46
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,17,0.3218,0.6347,0.8575,0.7129,0.654,0.8416,55.46
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,18,0.3158,0.5574,0.8628,0.7489,0.7155,0.857,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,19,0.3126,0.5208,0.8607,0.7601,0.7581,0.844,55.44
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,20,0.3087,0.5068,0.8647,0.7725,0.7541,0.8655,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,21,0.3059,0.5568,0.8669,0.7454,0.7143,0.8525,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,22,0.3029,0.5448,0.869,0.75,0.7449,0.8349,55.42
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,23,0.3064,0.5683,0.8659,0.7315,0.6853,0.8516,55.42
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,24,0.299,0.5203,0.8718,0.76,0.7315,0.8663,55.42
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,25,0.295,0.575,0.8732,0.7313,0.6995,0.838,55.42
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,26,0.2995,0.5224,0.8728,0.7609,0.7588,0.8481,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,27,0.2954,0.5002,0.8737,0.7765,0.7779,0.8568,55.44
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,28,0.2913,0.5539,0.875,0.7423,0.71,0.8514,55.39
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,29,0.2868,0.5817,0.8773,0.7336,0.7017,0.8404,55.39
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,42,30,0.2863,0.7704,0.8781,0.673,0.5793,0.8186,55.43
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,1,0.495,0.4947,0.7588,0.768,0.7775,0.8417,55.35
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,2,0.4248,0.4939,0.7967,0.769,0.7841,0.8386,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,3,0.4124,0.5386,0.8058,0.7569,0.7502,0.8339,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,4,0.4042,0.5336,0.8118,0.7611,0.7533,0.8383,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,5,0.3956,0.5355,0.8176,0.7509,0.7379,0.8372,55.39
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,6,0.3891,0.4986,0.8245,0.7653,0.7666,0.8451,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,7,0.3765,0.6048,0.8291,0.7287,0.6964,0.8278,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,8,0.3659,0.5688,0.8367,0.7356,0.7129,0.8361,55.36
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,9,0.3575,0.5311,0.841,0.7537,0.7396,0.8458,55.36
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,10,0.3499,0.5258,0.845,0.757,0.7522,0.85,55.34
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,11,0.3437,0.5732,0.8501,0.7332,0.6907,0.8537,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,12,0.3347,0.5665,0.8561,0.732,0.6899,0.8523,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,13,0.3291,0.5654,0.8575,0.7447,0.7142,0.851,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,14,0.3261,0.5595,0.8615,0.7291,0.6866,0.8543,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,15,0.3194,0.5678,0.8639,0.7405,0.6902,0.8749,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,16,0.3161,0.4683,0.8676,0.7812,0.7767,0.8714,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,17,0.3112,0.5229,0.8693,0.7651,0.733,0.8735,55.39
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,18,0.3055,0.551,0.8714,0.7463,0.6989,0.8755,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,19,0.2984,0.5141,0.8754,0.7643,0.7312,0.88,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,20,0.296,0.5516,0.8752,0.7451,0.6999,0.8708,55.36
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,21,0.2915,0.5291,0.879,0.7603,0.7278,0.8777,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,22,0.2888,0.5571,0.88,0.7513,0.7106,0.8746,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,23,0.2859,0.5209,0.8806,0.7691,0.744,0.8775,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,24,0.2824,0.513,0.8829,0.7687,0.7479,0.8695,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,25,0.2793,0.4891,0.8847,0.7862,0.7717,0.8808,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,26,0.2814,0.5072,0.8839,0.7788,0.7723,0.8706,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,27,0.2768,0.5734,0.8858,0.7516,0.7123,0.8745,55.37
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,28,0.28,0.5528,0.8837,0.7666,0.7334,0.8821,55.36
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,29,0.2724,0.5,0.8877,0.7726,0.7493,0.8826,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,15,30,0.2702,0.5204,0.89,0.7712,0.7471,0.8796,55.38
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,1,0.4904,0.4986,0.7622,0.7757,0.7865,0.8424,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,2,0.4296,0.5072,0.7943,0.7709,0.7849,0.844,55.3
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,3,0.4097,0.5049,0.8074,0.7763,0.7823,0.8471,55.3
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,4,0.4009,0.5311,0.8129,0.7655,0.7701,0.8404,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,5,0.3918,0.5127,0.8157,0.7581,0.7507,0.8468,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,6,0.3818,0.506,0.824,0.743,0.7118,0.8565,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,7,0.3674,0.6195,0.8326,0.7245,0.6866,0.8343,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,8,0.3592,0.5911,0.8374,0.7476,0.7315,0.8354,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,9,0.3453,0.4607,0.843,0.7881,0.8063,0.8764,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,10,0.3359,0.5133,0.8516,0.7756,0.7549,0.8743,55.33
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,11,0.3326,0.6371,0.8555,0.7154,0.7003,0.7997,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,12,0.3215,0.465,0.8604,0.795,0.779,0.8908,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,13,0.3201,0.4348,0.8572,0.8019,0.8099,0.8865,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,14,0.3168,0.447,0.8626,0.799,0.7956,0.8846,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,15,0.3075,0.4813,0.8679,0.7844,0.7776,0.8721,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,16,0.3031,0.5633,0.8692,0.7725,0.7554,0.8607,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,17,0.2999,0.4369,0.8709,0.802,0.8108,0.8851,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,18,0.2959,0.4656,0.8731,0.8026,0.805,0.8842,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,19,0.2963,0.5202,0.8723,0.7867,0.7877,0.8676,55.33
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,20,0.2949,0.5852,0.8744,0.7648,0.7461,0.8548,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,21,0.2908,0.5865,0.8758,0.7453,0.735,0.8324,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,22,0.2851,0.4795,0.8781,0.796,0.7956,0.8781,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,23,0.2861,0.5302,0.8785,0.7727,0.7695,0.8555,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,24,0.2792,0.484,0.8813,0.7867,0.766,0.8859,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,25,0.2783,0.5554,0.8838,0.7831,0.7566,0.8843,55.33
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,26,0.2746,0.602,0.8849,0.7621,0.7338,0.8615,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,27,0.2697,0.5343,0.8864,0.7862,0.7891,0.869,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,28,0.2701,0.5271,0.886,0.7854,0.7834,0.8725,55.31
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,29,0.268,0.7148,0.8891,0.7361,0.6983,0.8397,55.32
GCNN_DIHEDRAL_8_Adam_lr0.01_wd0.0,67,30,0.2676,0.6294,0.8888,0.749,0.712,0.8631,55.32
GCNN_CYCLIC_16_AdamW_lr0.001_wd0.0001,42,1,0.621,0.635,0.6288,0.638,0.6964,0.6018,43.15
